,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
1,1,Main/Main10,AE,AE1533,1,Decoder,Samsung,20310817,"7.3.2.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10"
2,2,Main/Main10,AE,AE2282,1,Decoder,GEVC,20320716,"6.3.3, 7.4.3.3.1, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.4"
3,2,Main/Main10,AE,AE2282,20,Encoder,GEVC,20320716,"6.3.3, 7.4.3.3.1, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.4"
4,2,Main/Main10,AE,AE2282,28,Bitstream,GEVC,20320716,"6.3.3, 7.4.3.3.1, 9.3.3.1, 9.3.4.1, 9.3.4.3.1, 9.3.4.3.4"
5,3,Main/Main10,AE,AE2693,1,Encoder,JVCKENWOOD,20330412,"3.129, 3.165, 3.166, 3.167, 6.3.2, 7.2, 7.3.8.11, 7.4.9.10, 7.4.9.11, 8, 8.1.1, 9.3, 9.3.1, 9.3.4.2.1, 9.3.4.2.5"
6,3,Main/Main10,AE,AE2693,15,Decoder,JVCKENWOOD,20330412,"3.129, 3.165, 3.166, 3.167, 6.3.2, 7.2, 7.3.8.11, 7.4.9.10, 7.4.9.11, 8, 8.1.1, 9.3, 9.3.1, 9.3.4.2.1, 9.3.4.2.5"
7,4,Main/Main10,AL,AL5150,1,Decoder,Samsung,20301208,"3.29, 3.30, 3.32, 3.99, 6.3, 6.3.2, 7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.5.2, 8.5.3, 8.5.3.1, Table 7-10"
8,5,Main/Main10,AL,AL5416,3,Decoder,DIAB,20321106,"7.3.8.11, 7.4.9.10, 7.4.9.11"
9,6,Main/Main10,AL,AL5486,3,Decoder,DIAB,20321106,"7.3.8.11, 7.4.9.10, 7.4.9.11"
10,7,Main/Main10,AL,AL5773,1,Decoder,Samsung,20310405,"3.32, 3.34, 3.35, 3.104, 7.2, 6.2, 6.3.1, 6.3.2, 7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4.1, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 8-1, 8-2, 8-3, 8-5"
11,8,Main/Main10,AL,AL5812,1,Decoder,Samsung,20300813,"3.34, 3.41, 3.70, 6.2, 6.3, 6.3.1, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 7.4.9.10, Table 7-10"
