Profile,Country,Patent Number,Licensor,Country New,Patent Number New,Inventor
Main/Main10,AE,AE1533,Samsung,AE,AE1533,UNKNOWN
Main/Main10,AE,AE2282,GEVC,AE,AE2282,UNKNOWN
Main/Main10,AE,AE2693,JVCKENWOOD,AE,AE2693,UNKNOWN
Main/Main10,AL,AL5150,Samsung,AL,AL5150,UNKNOWN
Main/Main10,AL,AL5416,DIAB,AL,AL5416,UNKNOWN
Main/Main10,AL,AL5486,DIAB,AL,AL5486,UNKNOWN
Main/Main10,AL,AL5773,Samsung,AL,AL5773,UNKNOWN
Main/Main10,AL,AL5812,Samsung,AL,AL5812,UNKNOWN
Main/Main10,AL,AL5874,Samsung,AL,AL5874,UNKNOWN
Main/Main10,AL,AL5988,Samsung,AL,AL5988,UNKNOWN
Main/Main10,AL,AL5998,Samsung,AL,AL5998,UNKNOWN
Main/Main10,AL,AL5999,Samsung,AL,AL5999,UNKNOWN
Main/Main10,AL,AL6060,Samsung,AL,AL6060,UNKNOWN
Main/Main10,AL,AL6061,Samsung,AL,AL6061,UNKNOWN
Main/Main10,AL,AL6076,Samsung,AL,AL6076,UNKNOWN
Main/Main10,AL,AL6117,Samsung,AL,AL6117,UNKNOWN
Main/Main10,AL,AL6207,Samsung,AL,AL6207,UNKNOWN
Main/Main10,AL,AL6290,Samsung,AL,AL6290,UNKNOWN
Main/Main10,AL,AL6291,Samsung,AL,AL6291,UNKNOWN
Main/Main10,AL,AL6292,Samsung,AL,AL6292,UNKNOWN
Main/Main10,AL,AL6313,Samsung,AL,AL6313,UNKNOWN
Main/Main10,AL,AL6332,Samsung,AL,AL6332,UNKNOWN
Main/Main10,AL,AL6335,Samsung,AL,AL6335,UNKNOWN
Main/Main10,AL,AL6346,Samsung,AL,AL6346,UNKNOWN
Main/Main10,AL,AL6371,Samsung,AL,AL6371,UNKNOWN
Main/Main10,AL,AL6559,Samsung,AL,AL6559,UNKNOWN
Main/Main10,AL,AL6583,Samsung,AL,AL6583,UNKNOWN
Main/Main10,AL,AL6638,Samsung,AL,AL6638,UNKNOWN
Main/Main10,AL,AL6661,Samsung,AL,AL6661,UNKNOWN
Main/Main10,AL,AL6702,Samsung,AL,AL6702,UNKNOWN
Main/Main10,AL,AL6706,Samsung,AL,AL6706,UNKNOWN
Main/Main10,AL,AL6737,Samsung,AL,AL6737,UNKNOWN
Main/Main10,AL,AL6740,Samsung,AL,AL6740,UNKNOWN
Main/Main10,AL,AL6771,Samsung,AL,AL6771,UNKNOWN
Main/Main10,AL,AL6781,Samsung,AL,AL6781,UNKNOWN
Main/Main10,AL,AL6852,Samsung,AL,AL6852,UNKNOWN
Main/Main10,AL,AL6863,Samsung,AL,AL6863,UNKNOWN
Main/Main10,AL,AL6917,Samsung,AL,AL6917,UNKNOWN
Main/Main10,AL,AL6918,Samsung,AL,AL6918,UNKNOWN
Main/Main10,AL,AL6920,Samsung,AL,AL6920,UNKNOWN
Main/Main10,AL,AL6973,Samsung,AL,AL6973,UNKNOWN
Main/Main10,AL,AL6974,Samsung,AL,AL6974,UNKNOWN
Main/Main10,AL,AL6975,Samsung,AL,AL6975,UNKNOWN
Main/Main10,AL,AL6976,Samsung,AL,AL6976,UNKNOWN
Main/Main10,AL,AL6977,Samsung,AL,AL6977,UNKNOWN
Main/Main10,AL,AL7003,Samsung,AL,AL7003,UNKNOWN
Main/Main10,AL,AL7067,Samsung,AL,AL7067,UNKNOWN
Main/Main10,AL,AL7070,Samsung,AL,AL7070,UNKNOWN
Main/Main10,AL,AL7114,Samsung,AL,AL7114,UNKNOWN
Main/Main10,AL,AL7130,Samsung,AL,AL7130,UNKNOWN
Main/Main10,AL,AL7223,Samsung,AL,AL7223,UNKNOWN
Main/Main10,AL,AL7288,Samsung,AL,AL7288,UNKNOWN
Main/Main10,AL,AL7324,Samsung,AL,AL7324,UNKNOWN
Main/Main10,AL,AL7529,Samsung,AL,AL7529,UNKNOWN
Main/Main10,AL,AL7553,Samsung,AL,AL7553,UNKNOWN
Main/Main10,AL,AL7555,Samsung,AL,AL7555,UNKNOWN
Main/Main10,AL,AL7600,Samsung,AL,AL7600,UNKNOWN
Main/Main10,AL,AL7603,Samsung,AL,AL7603,UNKNOWN
Main/Main10,AL,AL7642,Samsung,AL,AL7642,UNKNOWN
Main/Main10,AL,AL7671,Samsung,AL,AL7671,UNKNOWN
Main/Main10,AL,AL7672,Samsung,AL,AL7672,UNKNOWN
Main/Main10,AL,AL7673,Samsung,AL,AL7673,UNKNOWN
Main/Main10,AL,AL7703,Samsung,AL,AL7703,UNKNOWN
Main/Main10,AL,AL7721,Samsung,AL,AL7721,UNKNOWN
Main/Main10,AL,AL7722,Samsung,AL,AL7722,UNKNOWN
Main/Main10,AL,AL7756,Samsung,AL,AL7756,UNKNOWN
Main/Main10,AL,AL7796,Samsung,AL,AL7796,UNKNOWN
Main/Main10,AL,AL7797,Samsung,AL,AL7797,UNKNOWN
Main/Main10,AL,AL7798,Samsung,AL,AL7798,UNKNOWN
Main/Main10,AL,AL7812,Samsung,AL,AL7812,UNKNOWN
Main/Main10,AL,AL7876,Samsung,AL,AL7876,UNKNOWN
Main/Main10,AL,AL7890,Samsung,AL,AL7890,UNKNOWN
Main/Main10,AL,AL7921,Samsung,AL,AL7921,UNKNOWN
Main/Main10,AL,AL7964,Samsung,AL,AL7964,UNKNOWN
Main/Main10,AL,AL7976,Huawei,AL,AL7976,UNKNOWN
Main/Main10,AL,AL8034,DIAB,AL,AL8034,UNKNOWN
Main/Main10,AL,AL8044,Samsung,AL,AL8044,UNKNOWN
Main/Main10,AL,AL8060,Samsung,AL,AL8060,UNKNOWN
Main/Main10,AL,AL8061,Samsung,AL,AL8061,UNKNOWN
